#Swift_Amplicon_Name	Chr	Start	End	Gene	Transcript	Orientation	cDNA_start	upstream_bases	cDNA_end	downstream_bases	starts_in_codon	first_full_codon	ends_in_codon	last_full_codon
235_Jak3_1_R_1	chr19	17954129	17954229	JAK3	NM_000215	-	380	0	420	60	127	128	140	140
236_SRC_Q531*_F2	chr20	36031665	36031769	SRC	NM_198291	+	1494	0	1598	0	498	499	533	532
237_GNAS_R201_F2	chr20	57484407	57484483	GNAS	NM_000516	+	588	0	659	5	196	197	220	219
238_GNAS_Q227_F2	chr20	57484553	57484635	GNAS	NM_000516	+	660	23	718	1	220	221	240	239
239_SMARCB1_R40*-R53*_F2	chr22	24133938	24134037	SMARCB1	NM_003073	+	94	5	188	0	32	32	63	62
240_SMARCB1_R158*_F2	chr22	24143221	24143310	SMARCB1	NM_003073	+	453	0	500	42	151	152	167	166
241_SMARCB1_R201*_F2	chr22	24145518	24145598	SMARCB1	NM_003073	+	537	0	617	0	179	180	206	205
242_SMARCB1_R377H-P383_F1_NEW	chr22	24176259	24176373	SMARCB1	NM_003073	+	1119	69	1158	6	373	374	386	386
243_TP53_Exon11	chr17	7572917	7573014	TP53	NM_000546	-	1101	6	1182	10	367	368	394	394
244_TP53_Exon10A	chr17	7573973	7574042	TP53	NM_000546	-	994	9	1054	0	332	332	352	351
245_TP53_Exon10B	chr17	7573891	7573978	TP53	NM_000546	-	1049	0	1100	36	350	351	367	366
246_TP53_Exon9b	chr17	7576585	7576693	TP53	NM_000546	-	994	2660	993	268	332	332	331	331
247_TP53_Exon9g	chr17	7576482	7576589	TP53	NM_000546	-	994	2556	993	371	332	332	331	331
248_TP53_Exon_9a_A	chr17	7576863	7576962	TP53	NM_000546	-	920	36	983	0	307	308	328	327
249_TP53_Exon_9a_B	chr17	7576814	7576909	TP53	NM_000546	-	937	0	993	39	313	313	331	331
250_TP53_Exon_8_A	chr17	7577083	7577188	TP53	NM_000546	-	783	33	855	0	261	262	285	285
251_TP53_Exon_8_B	chr17	7577009	7577124	TP53	NM_000546	-	814	0	919	10	272	272	307	306
252_TP53_Exon7A	chr17	7577527	7577627	TP53	NM_000546	-	673	19	754	0	225	225	252	251
253_TP53_Exon7B	chr17	7577451	7577551	TP53	NM_000546	-	730	0	782	48	244	244	261	260
254_TP53_Exon6A	chr17	7578247	7578347	TP53	NM_000546	-	560	58	602	0	187	188	201	200
255_TP53_Exon6B	chr17	7578143	7578252	TP53	NM_000546	-	597	0	672	34	199	200	224	224
256_TP53_Exon5C	chr17	7578316	7578407	TP53	NM_000546	-	523	0	559	55	175	175	187	186
257_TP53_Exon5B	chr17	7578384	7578486	TP53	NM_000546	-	444	0	546	0	148	149	182	182
258_TP53_Exon4B	chr17	7579389	7579501	TP53	NM_000546	-	186	0	298	0	62	63	100	99
259_TP53_Exon4C	chr17	7579287	7579397	TP53	NM_000546	-	290	0	375	25	97	98	125	125
260_TP53_Exon4A	chr17	7579495	7579596	TP53	NM_000546	-	97	6	192	0	33	33	64	64
261_TP53_Exon3_R	chr17	7579699	7579768	TP53	NM_000546	-	75	47	96	1	25	26	32	32
262_TP53_Exon2_R	chr17	7579831	7579930	TP53	NM_000546	-	1	18	74	8	1	1	25	24
263_TP53_Exon_5A	chr17	7578445	7578556	TP53	NM_000546	-	376	2	485	0	126	126	162	161
