#Swift_Amplicon_Name	Chr	Start	End	Gene	Transcript	Orientation	cDNA_start	upstream_bases	cDNA_end	downstream_bases	starts_in_codon	first_full_codon	ends_in_codon	last_full_codon
_TP53_Exon6B	chr17	7578143	7578252	TP53	NM_000546	-	597	0	672	34	199	200	224	224
_TP53_Exon6A	chr17	7578247	7578347	TP53	NM_000546	-	560	58	602	0	187	188	201	200
_TP53_Exon5C	chr17	7578316	7578407	TP53	NM_000546	-	523	0	559	55	175	175	187	186
_TP53_Exon5B	chr17	7578384	7578486	TP53	NM_000546	-	444	0	546	0	148	149	182	182
TP53_Exon_5A	chr17	7578445	7578556	TP53	NM_000546	-	376	2	485	0	126	126	162	161
_TP53_Exon4C	chr17	7579287	7579397	TP53	NM_000546	-	290	0	375	25	97	98	125	125
_TP53_Exon4B	chr17	7579389	7579501	TP53	NM_000546	-	186	0	298	0	62	63	100	99
_TP53_Exon4A	chr17	7579495	7579596	TP53	NM_000546	-	97	6	192	0	33	33	64	64
_TP53_Exon3_R	chr17	7579699	7579768	TP53	NM_000546	-	75	47	96	1	25	26	32	32
_TP53_Exon2_R	chr17	7579831	7579930	TP53	NM_000546	-	1	18	74	8	1	1	25	24
ERBB2_37866338-37866734_s625_D_2	chr17	37866632	37866736	ERBB2	NM_001005862	+	709	0	811	2	237	237	271	270
ERBB2_(G309A)_F/2	chr17	37868185	37868267	ERBB2	NM_001005862	+	816	0	898	0	272	273	300	299
ERBB2_37879571-37879913_s175_1	chr17	37879520	37879609	ERBB2	NM_001005862	+	1857	52	1894	0	619	620	632	631
ERBB2_37879571-37879913_s175_U_2	chr17	37879584	37879694	ERBB2	NM_001005862	+	1869	0	1979	0	623	624	660	659
ERBB2_37879571-37879913_s175_U_3	chr17	37879689	37879793	ERBB2	NM_001005862	+	1974	0	1998	0	658	659	666	666
ERBB2_37880164-37880263_s175_1	chr17	37880130	37880230	ERBB2	NM_001005862	+	2119	35	2184	0	707	707	728	728
ERBB2_(L755_755-759del_D769)_F/2	chr17	37880213	37880324	ERBB2	NM_001005862	+	2167	0	2217	61	723	723	739	739
ERBB2_A_(V777L)_F/2	chr17	37880966	37881030	ERBB2	NM_001005862	+	2218	13	2269	0	740	740	757	756
ERBB2_37880978-37881655_s175_U_2	chr17	37881031	37881121	ERBB2	NM_001005862	+	2270	0	2360	0	757	758	787	786
ERBB2_B_(V842I)_F/2	chr17	37881283	37881366	ERBB2	NM_001005862	+	2404	19	2468	0	802	802	823	822
SMAD4.A118-C123.F/2	chr18	48575120	48575193	SMAD4	NM_005359	+	314	0	387	0	105	106	129	129
SMAD4.S144.F/2	chr18	48575577	48575679	SMAD4	NM_005359	+	425	88	439	0	142	143	147	146
SMAD4.G168.F/2	chr18	48581187	48581282	SMAD4	NM_005359	+	491	0	586	0	164	165	196	195
SMAD4.Q245-T259.F/2	chr18	48584499	48584595	SMAD4	NM_005359	+	672	0	768	0	224	225	256	256
SMAD4.Q311.F/2	chr18	48586257	48586344	SMAD4	NM_005359	+	926	0	955	58	309	310	319	318
SMAD4.E330-R361.F/2	chr18	48591817	48591929	SMAD4	NM_005359	+	980	0	1092	0	327	328	364	364
SMAD4.G386-Y412.F/2	chr18	48593401	48593507	SMAD4	NM_005359	+	1152	0	1258	0	384	385	420	419
SMAD4.R445-A466.F/2	chr18	48603027	48603120	SMAD4	NM_005359	+	1328	0	1421	0	443	444	474	473
SMAD4.R497.F/2	chr18	48604662	48604728	SMAD4	NM_005359	+	1484	0	1550	0	495	496	517	516
SMAD4.E526-D537.F/2	chr18	48604726	48604797	SMAD4	NM_005359	+	1548	0	1619	0	516	517	540	539
STK11.T32-Y60.F/2	chr19	1207003	1207104	STK11	NM_000455	+	91	0	192	0	31	31	64	64
STK11.Q159-G171.F/2	chr19	1220312	1220423	STK11	NM_000455	+	465	60	516	0	155	156	172	172
STK11.D194-E199.F/2	chr19	1220464	1220574	STK11	NM_000455	+	557	0	597	70	186	187	199	199
STK11.F264-282.F/2	chr19	1221227	1221332	STK11	NM_000455	+	750	0	855	0	250	251	285	285
STK11.W332-F354.F/2	chr19	1223052	1223144	STK11	NM_000455	+	989	0	1081	0	330	331	361	360
GNA11_R183_F/2	chr19	3114949	3115047	GNA11	NM_002067	+	484	0	582	0	162	162	194	194
GNA11_Q209.R/2	chr19	3118934	3119024	GNA11	NM_002067	+	618	0	708	0	206	207	236	236
Jak3_3_R_/1	chr19	17945624	17945733	JAK3	NM_000215	-	2127	0	2199	37	709	710	733	733
Jak3_2_R_/1	chr19	17947971	17948078	JAK3	NM_000215	-	1702	56	1753	0	568	568	585	584
Jak3_1_R_/1	chr19	17954129	17954229	JAK3	NM_000215	-	380	0	420	60	127	128	140	140
SRC_Q531*_F/2	chr20	36031665	36031769	SRC	NM_198291	+	1494	0	1598	0	498	499	533	532
GNAS_R201_F/2	chr20	57484407	57484483	GNAS	NM_000516	+	588	0	659	5	196	197	220	219
GNAS_Q227_F/2	chr20	57484553	57484635	GNAS	NM_000516	+	660	23	718	1	220	221	240	239
SMARCB1_R40*-R53*_F/2	chr22	24133938	24134037	SMARCB1	NM_003073	+	94	5	188	0	32	32	63	62
SMARCB1_R158*_F/2	chr22	24143221	24143310	SMARCB1	NM_003073	+	453	0	500	42	151	152	167	166
SMARCB1_R201*_F/2	chr22	24145518	24145598	SMARCB1	NM_003073	+	537	0	617	0	179	180	206	205
SMARCB1_R377H-P383_F/1__NEW	chr22	24176259	24176373	SMARCB1	NM_003073	+	1119	69	1158	6	373	374	386	386
